city_name,batch,treatment_year,year,treated,post,is_pilot
四平市,1,2013,2010,0,0,1
四平市,1,2013,2011,0,0,1
四平市,1,2013,2012,0,0,1
四平市,1,2013,2013,1,1,1
四平市,1,2013,2014,1,1,1
四平市,1,2013,2015,1,1,1
四平市,1,2013,2016,1,1,1
四平市,1,2013,2017,1,1,1
四平市,1,2013,2018,1,1,1
四平市,1,2013,2019,1,1,1
四平市,1,2013,2020,1,1,1
四平市,1,2013,2021,1,1,1
四平市,1,2013,2022,1,1,1
四平市,1,2013,2023,1,1,1
哈尔滨市,1,2013,2008,0,0,1
哈尔滨市,1,2013,2009,0,0,1
哈尔滨市,1,2013,2010,0,0,1
哈尔滨市,1,2013,2011,0,0,1
哈尔滨市,1,2013,2012,0,0,1
哈尔滨市,1,2013,2013,1,1,1
哈尔滨市,1,2013,2014,1,1,1
哈尔滨市,1,2013,2015,1,1,1
哈尔滨市,1,2013,2016,1,1,1
哈尔滨市,1,2013,2017,1,1,1
哈尔滨市,1,2013,2018,1,1,1
哈尔滨市,1,2013,2019,1,1,1
哈尔滨市,1,2013,2020,1,1,1
哈尔滨市,1,2013,2021,1,1,1
哈尔滨市,1,2013,2022,1,1,1
哈尔滨市,1,2013,2023,1,1,1
大庆市,1,2013,2008,0,0,1
大庆市,1,2013,2009,0,0,1
大庆市,1,2013,2010,0,0,1
大庆市,1,2013,2011,0,0,1
大庆市,1,2013,2012,0,0,1
大庆市,1,2013,2013,1,1,1
大庆市,1,2013,2014,1,1,1
大庆市,1,2013,2015,1,1,1
大庆市,1,2013,2016,1,1,1
大庆市,1,2013,2017,1,1,1
大庆市,1,2013,2018,1,1,1
大庆市,1,2013,2019,1,1,1
大庆市,1,2013,2020,1,1,1
大庆市,1,2013,2021,1,1,1
大庆市,1,2013,2022,1,1,1
大庆市,1,2013,2023,1,1,1
齐齐哈尔市,1,2013,2008,0,0,1
齐齐哈尔市,1,2013,2009,0,0,1
齐齐哈尔市,1,2013,2010,0,0,1
齐齐哈尔市,1,2013,2011,0,0,1
齐齐哈尔市,1,2013,2012,0,0,1
齐齐哈尔市,1,2013,2013,1,1,1
齐齐哈尔市,1,2013,2014,1,1,1
齐齐哈尔市,1,2013,2015,1,1,1
齐齐哈尔市,1,2013,2016,1,1,1
齐齐哈尔市,1,2013,2017,1,1,1
齐齐哈尔市,1,2013,2018,1,1,1
齐齐哈尔市,1,2013,2019,1,1,1
齐齐哈尔市,1,2013,2020,1,1,1
齐齐哈尔市,1,2013,2021,1,1,1
齐齐哈尔市,1,2013,2022,1,1,1
齐齐哈尔市,1,2013,2023,1,1,1
南京市,1,2013,2008,0,0,1
南京市,1,2013,2009,0,0,1
南京市,1,2013,2010,0,0,1
南京市,1,2013,2011,0,0,1
南京市,1,2013,2012,0,0,1
南京市,1,2013,2013,1,1,1
南京市,1,2013,2014,1,1,1
南京市,1,2013,2015,1,1,1
南京市,1,2013,2016,1,1,1
南京市,1,2013,2017,1,1,1
南京市,1,2013,2018,1,1,1
南京市,1,2013,2019,1,1,1
南京市,1,2013,2020,1,1,1
南京市,1,2013,2021,1,1,1
南京市,1,2013,2022,1,1,1
南京市,1,2013,2023,1,1,1
无锡市,1,2013,2008,0,0,1
无锡市,1,2013,2009,0,0,1
无锡市,1,2013,2010,0,0,1
无锡市,1,2013,2011,0,0,1
无锡市,1,2013,2012,0,0,1
无锡市,1,2013,2013,1,1,1
无锡市,1,2013,2014,1,1,1
无锡市,1,2013,2015,1,1,1
无锡市,1,2013,2016,1,1,1
无锡市,1,2013,2017,1,1,1
无锡市,1,2013,2018,1,1,1
无锡市,1,2013,2019,1,1,1
无锡市,1,2013,2020,1,1,1
无锡市,1,2013,2021,1,1,1
无锡市,1,2013,2022,1,1,1
无锡市,1,2013,2023,1,1,1
常州市,1,2013,2008,0,0,1
常州市,1,2013,2009,0,0,1
常州市,1,2013,2010,0,0,1
常州市,1,2013,2011,0,0,1
常州市,1,2013,2012,0,0,1
常州市,1,2013,2013,1,1,1
常州市,1,2013,2014,1,1,1
常州市,1,2013,2015,1,1,1
常州市,1,2013,2016,1,1,1
常州市,1,2013,2017,1,1,1
常州市,1,2013,2018,1,1,1
常州市,1,2013,2019,1,1,1
常州市,1,2013,2020,1,1,1
常州市,1,2013,2021,1,1,1
常州市,1,2013,2022,1,1,1
常州市,1,2013,2023,1,1,1
镇江市,1,2013,2008,0,0,1
镇江市,1,2013,2009,0,0,1
镇江市,1,2013,2010,0,0,1
镇江市,1,2013,2011,0,0,1
镇江市,1,2013,2012,0,0,1
镇江市,1,2013,2013,1,1,1
镇江市,1,2013,2014,1,1,1
镇江市,1,2013,2015,1,1,1
镇江市,1,2013,2016,1,1,1
镇江市,1,2013,2017,1,1,1
镇江市,1,2013,2018,1,1,1
镇江市,1,2013,2019,1,1,1
镇江市,1,2013,2020,1,1,1
镇江市,1,2013,2021,1,1,1
镇江市,1,2013,2022,1,1,1
镇江市,1,2013,2023,1,1,1
扬州市,1,2013,2008,0,0,1
扬州市,1,2013,2009,0,0,1
扬州市,1,2013,2010,0,0,1
扬州市,1,2013,2011,0,0,1
扬州市,1,2013,2012,0,0,1
扬州市,1,2013,2013,1,1,1
扬州市,1,2013,2014,1,1,1
扬州市,1,2013,2015,1,1,1
扬州市,1,2013,2016,1,1,1
扬州市,1,2013,2017,1,1,1
扬州市,1,2013,2018,1,1,1
扬州市,1,2013,2019,1,1,1
扬州市,1,2013,2020,1,1,1
扬州市,1,2013,2021,1,1,1
扬州市,1,2013,2022,1,1,1
扬州市,1,2013,2023,1,1,1
南通市,1,2013,2008,0,0,1
南通市,1,2013,2009,0,0,1
南通市,1,2013,2010,0,0,1
南通市,1,2013,2011,0,0,1
南通市,1,2013,2012,0,0,1
南通市,1,2013,2013,1,1,1
南通市,1,2013,2014,1,1,1
南通市,1,2013,2015,1,1,1
南通市,1,2013,2016,1,1,1
南通市,1,2013,2017,1,1,1
南通市,1,2013,2018,1,1,1
南通市,1,2013,2019,1,1,1
南通市,1,2013,2020,1,1,1
南通市,1,2013,2021,1,1,1
南通市,1,2013,2022,1,1,1
南通市,1,2013,2023,1,1,1
杭州市,1,2013,2008,0,0,1
杭州市,1,2013,2009,0,0,1
杭州市,1,2013,2010,0,0,1
杭州市,1,2013,2011,0,0,1
杭州市,1,2013,2012,0,0,1
杭州市,1,2013,2013,1,1,1
杭州市,1,2013,2014,1,1,1
杭州市,1,2013,2015,1,1,1
杭州市,1,2013,2016,1,1,1
杭州市,1,2013,2017,1,1,1
杭州市,1,2013,2018,1,1,1
杭州市,1,2013,2019,1,1,1
杭州市,1,2013,2020,1,1,1
杭州市,1,2013,2021,1,1,1
杭州市,1,2013,2022,1,1,1
杭州市,1,2013,2023,1,1,1
宁波市,1,2013,2008,0,0,1
宁波市,1,2013,2009,0,0,1
宁波市,1,2013,2010,0,0,1
宁波市,1,2013,2011,0,0,1
宁波市,1,2013,2012,0,0,1
宁波市,1,2013,2013,1,1,1
宁波市,1,2013,2014,1,1,1
宁波市,1,2013,2015,1,1,1
宁波市,1,2013,2016,1,1,1
宁波市,1,2013,2017,1,1,1
宁波市,1,2013,2018,1,1,1
宁波市,1,2013,2019,1,1,1
宁波市,1,2013,2020,1,1,1
宁波市,1,2013,2021,1,1,1
宁波市,1,2013,2022,1,1,1
宁波市,1,2013,2023,1,1,1
温州市,1,2013,2008,0,0,1
温州市,1,2013,2009,0,0,1
温州市,1,2013,2010,0,0,1
温州市,1,2013,2011,0,0,1
温州市,1,2013,2012,0,0,1
温州市,1,2013,2013,1,1,1
温州市,1,2013,2014,1,1,1
温州市,1,2013,2015,1,1,1
温州市,1,2013,2016,1,1,1
温州市,1,2013,2017,1,1,1
温州市,1,2013,2018,1,1,1
温州市,1,2013,2019,1,1,1
温州市,1,2013,2020,1,1,1
温州市,1,2013,2021,1,1,1
温州市,1,2013,2022,1,1,1
温州市,1,2013,2023,1,1,1
嘉兴市,1,2013,2008,0,0,1
嘉兴市,1,2013,2009,0,0,1
嘉兴市,1,2013,2010,0,0,1
嘉兴市,1,2013,2011,0,0,1
嘉兴市,1,2013,2012,0,0,1
嘉兴市,1,2013,2013,1,1,1
嘉兴市,1,2013,2014,1,1,1
嘉兴市,1,2013,2015,1,1,1
嘉兴市,1,2013,2016,1,1,1
嘉兴市,1,2013,2017,1,1,1
嘉兴市,1,2013,2018,1,1,1
嘉兴市,1,2013,2019,1,1,1
嘉兴市,1,2013,2020,1,1,1
嘉兴市,1,2013,2021,1,1,1
嘉兴市,1,2013,2022,1,1,1
嘉兴市,1,2013,2023,1,1,1
湖州市,1,2013,2008,0,0,1
湖州市,1,2013,2009,0,0,1
湖州市,1,2013,2010,0,0,1
湖州市,1,2013,2011,0,0,1
湖州市,1,2013,2012,0,0,1
湖州市,1,2013,2013,1,1,1
湖州市,1,2013,2014,1,1,1
湖州市,1,2013,2015,1,1,1
湖州市,1,2013,2016,1,1,1
湖州市,1,2013,2017,1,1,1
湖州市,1,2013,2018,1,1,1
湖州市,1,2013,2019,1,1,1
湖州市,1,2013,2020,1,1,1
湖州市,1,2013,2021,1,1,1
湖州市,1,2013,2022,1,1,1
湖州市,1,2013,2023,1,1,1
合肥市,1,2013,2008,0,0,1
合肥市,1,2013,2009,0,0,1
合肥市,1,2013,2010,0,0,1
合肥市,1,2013,2011,0,0,1
合肥市,1,2013,2012,0,0,1
合肥市,1,2013,2013,1,1,1
合肥市,1,2013,2014,1,1,1
合肥市,1,2013,2015,1,1,1
合肥市,1,2013,2016,1,1,1
合肥市,1,2013,2017,1,1,1
合肥市,1,2013,2018,1,1,1
合肥市,1,2013,2019,1,1,1
合肥市,1,2013,2020,1,1,1
合肥市,1,2013,2021,1,1,1
合肥市,1,2013,2022,1,1,1
合肥市,1,2013,2023,1,1,1
芜湖市,1,2013,2008,0,0,1
芜湖市,1,2013,2009,0,0,1
芜湖市,1,2013,2010,0,0,1
芜湖市,1,2013,2011,0,0,1
芜湖市,1,2013,2012,0,0,1
芜湖市,1,2013,2013,1,1,1
芜湖市,1,2013,2014,1,1,1
芜湖市,1,2013,2015,1,1,1
芜湖市,1,2013,2016,1,1,1
芜湖市,1,2013,2017,1,1,1
芜湖市,1,2013,2018,1,1,1
芜湖市,1,2013,2019,1,1,1
芜湖市,1,2013,2020,1,1,1
芜湖市,1,2013,2021,1,1,1
芜湖市,1,2013,2022,1,1,1
芜湖市,1,2013,2023,1,1,1
蚌埠市,1,2013,2008,0,0,1
蚌埠市,1,2013,2009,0,0,1
蚌埠市,1,2013,2010,0,0,1
蚌埠市,1,2013,2011,0,0,1
蚌埠市,1,2013,2012,0,0,1
蚌埠市,1,2013,2013,1,1,1
蚌埠市,1,2013,2014,1,1,1
蚌埠市,1,2013,2015,1,1,1
蚌埠市,1,2013,2016,1,1,1
蚌埠市,1,2013,2017,1,1,1
蚌埠市,1,2013,2018,1,1,1
蚌埠市,1,2013,2019,1,1,1
蚌埠市,1,2013,2020,1,1,1
蚌埠市,1,2013,2021,1,1,1
蚌埠市,1,2013,2022,1,1,1
蚌埠市,1,2013,2023,1,1,1
福州市,1,2013,2008,0,0,1
福州市,1,2013,2009,0,0,1
福州市,1,2013,2010,0,0,1
福州市,1,2013,2011,0,0,1
福州市,1,2013,2012,0,0,1
福州市,1,2013,2013,1,1,1
福州市,1,2013,2014,1,1,1
福州市,1,2013,2015,1,1,1
福州市,1,2013,2016,1,1,1
福州市,1,2013,2017,1,1,1
福州市,1,2013,2018,1,1,1
福州市,1,2013,2019,1,1,1
福州市,1,2013,2020,1,1,1
福州市,1,2013,2021,1,1,1
福州市,1,2013,2022,1,1,1
福州市,1,2013,2023,1,1,1
厦门市,1,2013,2008,0,0,1
厦门市,1,2013,2009,0,0,1
厦门市,1,2013,2010,0,0,1
厦门市,1,2013,2011,0,0,1
厦门市,1,2013,2012,0,0,1
厦门市,1,2013,2013,1,1,1
厦门市,1,2013,2014,1,1,1
厦门市,1,2013,2015,1,1,1
厦门市,1,2013,2016,1,1,1
厦门市,1,2013,2017,1,1,1
厦门市,1,2013,2018,1,1,1
厦门市,1,2013,2019,1,1,1
厦门市,1,2013,2020,1,1,1
厦门市,1,2013,2021,1,1,1
厦门市,1,2013,2022,1,1,1
厦门市,1,2013,2023,1,1,1
莆田市,1,2013,2008,0,0,1
莆田市,1,2013,2009,0,0,1
莆田市,1,2013,2010,0,0,1
莆田市,1,2013,2011,0,0,1
莆田市,1,2013,2012,0,0,1
莆田市,1,2013,2013,1,1,1
莆田市,1,2013,2014,1,1,1
莆田市,1,2013,2015,1,1,1
莆田市,1,2013,2016,1,1,1
莆田市,1,2013,2017,1,1,1
莆田市,1,2013,2018,1,1,1
莆田市,1,2013,2019,1,1,1
莆田市,1,2013,2020,1,1,1
莆田市,1,2013,2021,1,1,1
莆田市,1,2013,2022,1,1,1
莆田市,1,2013,2023,1,1,1
南昌市,1,2013,2008,0,0,1
南昌市,1,2013,2009,0,0,1
南昌市,1,2013,2010,0,0,1
南昌市,1,2013,2011,0,0,1
南昌市,1,2013,2012,0,0,1
南昌市,1,2013,2013,1,1,1
南昌市,1,2013,2014,1,1,1
南昌市,1,2013,2015,1,1,1
南昌市,1,2013,2016,1,1,1
南昌市,1,2013,2017,1,1,1
南昌市,1,2013,2018,1,1,1
南昌市,1,2013,2019,1,1,1
南昌市,1,2013,2020,1,1,1
南昌市,1,2013,2021,1,1,1
南昌市,1,2013,2022,1,1,1
南昌市,1,2013,2023,1,1,1
萍乡市,1,2013,2008,0,0,1
萍乡市,1,2013,2009,0,0,1
萍乡市,1,2013,2010,0,0,1
萍乡市,1,2013,2011,0,0,1
萍乡市,1,2013,2012,0,0,1
萍乡市,1,2013,2013,1,1,1
萍乡市,1,2013,2014,1,1,1
萍乡市,1,2013,2015,1,1,1
萍乡市,1,2013,2016,1,1,1
萍乡市,1,2013,2017,1,1,1
萍乡市,1,2013,2018,1,1,1
萍乡市,1,2013,2019,1,1,1
萍乡市,1,2013,2020,1,1,1
萍乡市,1,2013,2021,1,1,1
萍乡市,1,2013,2022,1,1,1
萍乡市,1,2013,2023,1,1,1
新余市,1,2013,2008,0,0,1
新余市,1,2013,2009,0,0,1
新余市,1,2013,2010,0,0,1
新余市,1,2013,2011,0,0,1
新余市,1,2013,2012,0,0,1
新余市,1,2013,2013,1,1,1
新余市,1,2013,2014,1,1,1
新余市,1,2013,2015,1,1,1
新余市,1,2013,2016,1,1,1
新余市,1,2013,2017,1,1,1
新余市,1,2013,2018,1,1,1
新余市,1,2013,2019,1,1,1
新余市,1,2013,2020,1,1,1
新余市,1,2013,2021,1,1,1
新余市,1,2013,2022,1,1,1
新余市,1,2013,2023,1,1,1
济南市,1,2013,2008,0,0,1
济南市,1,2013,2009,0,0,1
